Package,Name,Version,Architecture
com.wkk.filzacrack,Filza Crack,1.1-9,iphoneos-arm64e
com.wkk.filzadirprobe,FilzaDirProbe,1.7.3,iphoneos-arm64e
com.wkk.filzaswipeselect,FilzaSwipeSelect,0.0.2,iphoneos-arm64e
com.wkk.flexibleexpressions,FlexibleExpression,1.2.0,iphoneos-arm64e
com.wkk.ftpz,FT Tool（配置文件）,1.0,iphoneos-arm64e
com.wkk.fuckicon,HiceIconName,1.0,iphoneos-arm64e
com.wkk.fuckltads,中国联通NoAds,1.0,iphoneos-arm64e
com.wkk.fuckydads,中国移动NoAds,1.0,iphoneos-arm64e
com.wkk.fucmkrxkfads,瑞幸咖啡NoAds,1.3,iphoneos-arm64e
com.wkk.gaodehook,高德地图NoAds,1.0,iphoneos-arm64e
com.wkk.griddys,Griddy,1.0.5,iphoneos-arm64e
com.wkk.hammerit,Hammer It,1.7.1,iphoneos-arm64e
com.wkk.HideEdit,HideEdit,1.0,iphoneos-arm64e
com.wkk.hideiconbadge,HideIconBadge,1.0,iphoneos-arm64e
com.wkk.hphook,虎扑NoAds,1.0-1,iphoneos-arm64e
com.wkk.huyahook,虎牙直播NoAds,1.0,iphoneos-arm64e
com.wkk.iconx,Hideiconx,1.2,iphoneos-arm64e
com.wkk.immortalizer,Immortalizer,2.0.1,iphoneos-arm64e
com.wkk.instalauncher2,InstaLauncher 2,1.11.0,iphoneos-arm64e
com.wkk.jdhook,煎蛋NoAds,1.0,iphoneos-arm64e
com.wkk.keyboardhook,KeyboardHook,2.1-3,iphoneos-arm64e
com.wkk.kghook,酷狗音乐20（养老自用）,1.0,iphoneos-arm64e
com.wkk.kkgg,APP打开就关闭（TrollFools注入）,1.0-1,iphoneos-arm64e
com.wkk.kuanhook,酷安NoAds,1.0,iphoneos-arm64e
com.wkk.kugouhook,酷狗音乐Streamline,1.4-6,iphoneos-arm64e
com.wkk.latchkey,Latchkey,2.3.3,iphoneos-arm64e
com.wkk.lazycursor,LazyCursor,1.0.3,iphoneos-arm64e
com.wkk.lecard,Applecard,0.1,iphoneos-arm64e
com.wkk.lockmusic,HideLockMusic,1.0,iphoneos-arm64e
com.wkk.lstimeseconds16,LSTimeSeconds,1.0-1,iphoneos-arm64e
com.wkk.lstyhook,雷速体育NoAds,1.0-1,iphoneos-arm64e
com.wkk.lynxtwo,Lynx 2,2.5.4,iphoneos-arm64e
com.wkk.manager,RootHide Manager,1.3.6,iphoneos-arm64e
com.wkk.megahook,MEGANoAds,1.0,iphoneos-arm64e
com.wkk.megahook2,MEGANoAds,1.0,iphoneos-arm64e
com.wkk.mghook,芒果TVNoAds,1.0,iphoneos-arm64e
com.wkk.misaki,Misaki,2.2,iphoneos-arm64e
com.wkk.mlxxhook,美丽修行NoAds,1.0-1,iphoneos-arm64e
com.wkk.mtwmhook,美团外卖NoAds,1.1,iphoneos-arm64e
com.wkk.myshook,米游社NoAds,1.0-1,iphoneos-arm64e
com.wkk.newterm3,NewTerm 3,1.0-2,iphoneos-arm64e
com.wkk.nochargingsound,禁用充电声音,1.0-1,iphoneos-arm64e
com.wkk.nopreferencetips,NoPreferencesTips,1.0.4,iphoneos-arm64e
com.wkk.onesettings,OneSettings,2.2,iphoneos-arm64e
com.wkk.pancake,PanCake,2.3,iphoneos-arm64e
com.wkk.photohook,相册优化,1.0-6,iphoneos-arm64e
com.wkk.pkpkhook,PikPakNoAds,1.0,iphoneos-arm64e
com.wkk.ppxwhook,澎湃新闻NoAds,1.0-1,iphoneos-arm64e
com.wkk.primalfolder2,PrimalFolder2,0.1.2,iphoneos-arm64e
com.wkk.proxysc,去App录屏检测（下载后TrollFools注入）,1.0,iphoneos-arm64e
com.wkk.qichezhijiahook,汽车之家NoAds,1.0,iphoneos-arm64e
com.wkk.qiehook,企鹅体育NoAds,1.0-1,iphoneos-arm64e
com.wkk.qipao,红包气泡制作终端(自用),4.0,iphoneos-arm64
com.wkk.qmxshook,七猫小说,1.0,iphoneos-arm64e
com.wkk.qqmusicdesktoplyrics,DesktopLyrics,0.3.9~b1,iphoneos-arm64e
com.wkk.qqmusichook,QQ音乐NoAds,1.0,iphoneos-arm64e
com.wkk.qsyyhook,汽水音乐NoBottombar,1.0,iphoneos-arm64e
com.wkk.quickprefs,QuickPrefs,1.3.3-1,iphoneos-arm64e
com.wkk.ravitation,Gravitation,1.0-1,iphoneos-arm64e
com.wkk.recordanywhere,RecordAnywhere,1.1.0,iphoneos-arm64e
com.wkk.removewidgetbg,移除小组件背景,2.0,iphoneos-arm64e
com.wkk.rose,Rose 🌹,1.1.0,iphoneos-arm64e
com.wkk.sdk16.5,iPhoneOS16.5.sdk,1.0,iphoneos-arm64e
com.wkk.settingswidgets,SettingsWidgets,1.2.2,iphoneos-arm64e
com.wkk.smoothcursorios13,SmoothCursor(Rootless),0.0.1,iphoneos-arm64e
com.wkk.SquidExtender,SquidExtender配置,1.0-7,iphoneos-arm64e
